PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-11-01,11:01:55.37,1,1,"Halamicek, Ryan",1000297052,Right,CAL_MAT,"Becker, Andrew",1000365282,Left,CAL_MAT,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.00082,-3.17766,-3.016393,2148.80523,210.184822,1:00,6.00112,1.40335,6.66697,-18.61237,14.25056,7.6787,1.53559,-0.71923,83.39913,-6.718876,-1.619805,0.412595,,,,,,,,,,,,-4.94449,8.74902,-1.20399,50,5.77993,6.67382,-132.04536,-7.84695,-8.7218,28.3597,-16.74133,CAL_MAT,CAL_MAT,Matador Field,TeamExclusive,Team,20241101-Matador Field-Private-1,61bb7810-987b-11ef-8084-13326cb0523e,91.35447,,,7.60169,,,,,,,8939bfc7-06e8-4082-9f9d-5b556ec8b8fe,2024-11-01,18:01:55.37,2024-11-01T11:01:55.3741282-07:00,2024-11-01T18:01:55.3741282Z,,v3,471256,471256,,"Liera, Erubiel",1000365303,Right,CAL_MAT,442821d1-5e15-4ae9-8bba-d32bb7051878,53.83446,-132.86634,14.17985,6.00008,-7.36231,-8.37066,-1.40084,6.92631,-4.3609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-11-01,11:02:13.46,1,2,"Halamicek, Ryan",1000297052,Right,CAL_MAT,"Becker, Andrew",1000365282,Left,CAL_MAT,Undefined,1,Top,0,0,1,Splitter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.92718,-1.609954,-1.264887,2472.839841,187.991957,12:15,5.78622,1.95695,6.26121,-30.92695,7.88713,0.94917,1.72376,0.86956,77.65618,-7.354023,-1.093145,0.448401,,,,,,,,,,,,-0.82819,4.83559,-1.86367,50,5.65144,2.66109,-122.06085,-4.3619,-1.25757,22.5662,-24.83141,CAL_MAT,CAL_MAT,Matador Field,TeamExclusive,Team,20241101-Matador Field-Private-1,6c806d50-987b-11ef-8084-13326cb0523e,84.05976,,,6.271,,,,,,,8939bfc7-06e8-4082-9f9d-5b556ec8b8fe,2024-11-01,18:02:13.46,2024-11-01T11:02:13.4686178-07:00,2024-11-01T18:02:13.4686178Z,,v3,471256,471256,,"Liera, Erubiel",1000365303,Right,CAL_MAT,3e53d2aa-f30a-44df-8607-5f753e701dcf,54.24094,-122.8424,11.2831,5.78762,-3.5019,-12.41571,-1.95658,2.70464,-0.62879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-11-01,11:02:27.95,1,3,"Halamicek, Ryan",1000297052,Right,CAL_MAT,"Becker, Andrew",1000365282,Left,CAL_MAT,Undefined,1,Top,0,1,1,Splitter,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,82.48862,-3.470041,-1.302778,1535.405259,258.648747,2:30,5.93806,1.56018,6.35955,-37.20156,3.01898,9.11563,-0.3604,1.12062,76.6406,-10.309975,0.353402,0.456452,,,,,,,,,,,,-5.25571,2.71181,-1.47046,50,5.66843,2.42461,-119.84253,-8.3584,-7.6658,22.52726,-28.2187,CAL_MAT,CAL_MAT,Matador Field,TeamExclusive,Team,20241101-Matador Field-Private-1,75406ad0-987b-11ef-8084-13326cb0523e,82.57695,,,5.84802,,,,,,,8939bfc7-06e8-4082-9f9d-5b556ec8b8fe,2024-11-01,18:02:27.95,2024-11-01T11:02:27.9514082-07:00,2024-11-01T18:02:27.9514082Z,,v3,471256,471256,,"Liera, Erubiel",1000365303,Right,CAL_MAT,85a0b38b-d4c6-4995-a3db-8fcf359f31ca,54.14496,-120.61916,11.26363,5.93982,-7.38556,-14.10935,-1.55861,2.68889,-3.8329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-11-01,11:02:46.59,1,4,"Halamicek, Ryan",1000297052,Right,CAL_MAT,"Becker, Andrew",1000365282,Left,CAL_MAT,Undefined,1,Top,0,2,1,Splitter,Changeup,InPlay,Undefined,FlyBall,Out,1,0,,83.20341,-1.556251,-2.7253,1590.591916,222.733832,1:30,5.86794,1.75031,6.46801,-29.99872,9.23938,7.47382,1.93675,-0.13179,76.91939,-7.159151,-1.369805,0.450843,88.03831,32.081659,5.82245,3876.02561,109.56606,64.59423,9.76008,323.28486,320.14008,2.895543,5.180916,-4.66528,5.57992,-1.56135,50,5.74452,5.4978,-120.9401,-4.14245,-6.95536,22.12559,-23.85505,CAL_MAT,CAL_MAT,Matador Field,TeamExclusive,Team,20241101-Matador Field-Private-1,80504bc0-987b-11ef-8084-13326cb0523e,83.60435,84.84593,,6.28403,,,,2.34857,2.05515,0.10637,8939bfc7-06e8-4082-9f9d-5b556ec8b8fe,2024-11-01,18:02:46.59,2024-11-01T11:02:46.5982946-07:00,2024-11-01T18:02:46.5982946Z,FlyBall,v3,471256,471256,,"Liera, Erubiel",1000365303,Right,CAL_MAT,50de1f78-4041-467e-9096-a8ef9d7a4d96,54.03401,-121.67587,11.0628,5.86909,-3.34917,-11.92752,-1.74802,5.72909,-3.47768,177.039374,2.35256,108.75652,-23.42031,5.72835,-0.90868,0.0498,0.01118,-0.00215,0.00011,2.05143,68.65077,-14.51084,-0.19679,0.21939,-0.06536,0.01659,-0.0025,0.00014,0.10714,11.08328,-3.2331,0.51934,-0.00647,-0.02443,0.00647,-0.00071,3E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2024-11-01,11:03:23.74,2,1,"Halamicek, Ryan",1000297052,Right,CAL_MAT,"Honikel, Luke",822152,Left,CAL_MAT,Undefined,1,Top,1,0,0,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,86.09537,-2.577436,-2.75472,2552.554151,226.492864,1:30,5.91856,1.62059,6.42958,-31.93809,5.13071,4.16492,0.88376,-0.56619,79.13067,-8.511599,-1.999376,0.438203,,,,,,,,,,,,-3.01622,3.70626,-1.42634,50,5.72006,5.86596,-124.98083,-6.59205,-4.75422,26.00625,-26.33222,CAL_MAT,CAL_MAT,Matador Field,TeamExclusive,Team,20241101-Matador Field-Private-1,966f2340-987b-11ef-8084-13326cb0523e,86.01589,,,6.9647,,,,,,,8939bfc7-06e8-4082-9f9d-5b556ec8b8fe,2024-11-01,18:03:23.74,2024-11-01T11:03:23.7427170-07:00,2024-11-01T18:03:23.7427170Z,,v3,471256,471256,,"Liera, Erubiel",1000365303,Right,CAL_MAT,239b9ab5-fa0b-4d72-ac04-7190860b40bb,54.07295,-125.82548,13.00313,5.92027,-5.7368,-13.16611,-1.61937,6.02038,-2.37711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-11-01,11:03:36.78,2,2,"Halamicek, Ryan",1000297052,Right,CAL_MAT,"Honikel, Luke",822152,Left,CAL_MAT,Undefined,1,Top,1,1,0,FourSeamFastBall,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.82074,-1.786648,-3.774154,2376.964371,214.390974,1:15,5.98613,1.47886,6.64801,-15.8243,16.46139,10.5626,3.02803,-1.10041,83.89718,-4.835162,-1.857019,0.408956,,,,,,,,,,,,-6.62489,9.48827,-1.22817,50,5.85872,8.37952,-133.24415,-4.56822,-11.90685,28.70539,-15.12085,CAL_MAT,CAL_MAT,Matador Field,TeamExclusive,Team,20241101-Matador Field-Private-1,9e2a0cd0-987b-11ef-8084-13326cb0523e,92.16748,,,7.92356,,,,,,,8939bfc7-06e8-4082-9f9d-5b556ec8b8fe,2024-11-01,18:03:36.78,2024-11-01T11:03:36.7820258-07:00,2024-11-01T18:03:36.7820258Z,,v3,471256,471256,,"Liera, Erubiel",1000365303,Right,CAL_MAT,62ec408d-3806-4b2a-bd08-311244aac8f1,53.85208,-134.07146,14.35269,5.9841,-4.13243,-7.56043,-1.47462,8.72268,-5.95343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-11-01,11:04:01.34,2,3,"Halamicek, Ryan",1000297052,Right,CAL_MAT,"Honikel, Luke",822152,Left,CAL_MAT,Undefined,1,Top,1,1,1,Splitter,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,82.34568,-1.555328,-1.761545,1437.175333,216.673055,1:15,5.93316,1.55549,6.38673,-32.17155,8.01268,5.08441,1.82048,0.3583,76.12827,-7.545373,-0.839622,0.456246,,,,,,,,,,,,-3.14862,4.93162,-1.43113,50,5.80614,3.50594,-119.74382,-4.18168,-4.59584,21.97466,-24.97573,CAL_MAT,CAL_MAT,Matador Field,TeamExclusive,Team,20241101-Matador Field-Private-1,acde64b0-987b-11ef-8084-13326cb0523e,82.61425,,,6.21741,,,,,,,8939bfc7-06e8-4082-9f9d-5b556ec8b8fe,2024-11-01,18:04:01.34,2024-11-01T11:04:01.3424098-07:00,2024-11-01T18:04:01.3424098Z,,v3,471256,471256,,"Liera, Erubiel",1000365303,Right,CAL_MAT,9af1f68c-c07c-458b-a51e-0ff958af5d36,54.11514,-120.49664,10.98733,5.93474,-3.32605,-12.48787,-1.55394,3.66339,-2.29792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-11-01,11:04:39.32,3,1,"Halamicek, Ryan",1000297052,Right,CAL_MAT,"Pena, Arthur",1000365284,Left,CAL_MAT,Undefined,1,Top,2,0,0,Splitter,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,80.57329,-0.378382,-0.85475,1433.596156,218.058591,1:15,5.98582,1.67325,6.1243,-34.48892,7.76493,5.12969,2.76191,1.3105,74.5431,-6.775617,0.070791,0.467848,,,,,,,,,,,,-2.88075,4.47925,-1.61052,50,5.93876,1.56343,-117.20993,-1.80679,-4.04046,20.45159,-25.89156,CAL_MAT,CAL_MAT,Matador Field,TeamExclusive,Team,20241101-Matador Field-Private-1,c383aa40-987b-11ef-8084-13326cb0523e,80.56562,,,6.0302,,,,,,,8939bfc7-06e8-4082-9f9d-5b556ec8b8fe,2024-11-01,18:04:39.32,2024-11-01T11:04:39.3251810-07:00,2024-11-01T18:04:39.3251810Z,,v3,471256,471256,,"Liera, Erubiel",1000365303,Right,CAL_MAT,3ac78379-8b8f-476d-863e-3c0d6f2e6aa2,54.37665,-117.97113,10.2258,5.98807,-0.84312,-12.94578,-1.67152,1.71381,-2.02023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-11-01,11:04:52.56,3,2,"Halamicek, Ryan",1000297052,Right,CAL_MAT,"Pena, Arthur",1000365284,Left,CAL_MAT,Undefined,1,Top,2,1,0,Cutter,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,85.3892,-1.843518,-2.39866,2398.209559,202.906102,12:45,5.76616,1.91508,6.25663,-29.38864,8.38245,3.04764,1.61507,-0.04413,78.5327,-7.315621,-1.847954,0.442335,,,,,,,,,,,,-2.27945,5.18311,-1.73858,50,5.61457,5.08529,-124.03754,-4.88616,-3.55132,24.80223,-24.09891,CAL_MAT,CAL_MAT,Matador Field,TeamExclusive,Team,20241101-Matador Field-Private-1,cb532d40-987b-11ef-8084-13326cb0523e,85.21247,,,6.8565,,,,,,,8939bfc7-06e8-4082-9f9d-5b556ec8b8fe,2024-11-01,18:04:52.56,2024-11-01T11:04:52.5688802-07:00,2024-11-01T18:04:52.5688802Z,,v3,471256,471256,,"Liera, Erubiel",1000365303,Right,CAL_MAT,74407e1a-8476-4a1d-a20c-cae15b500dd5,54.24561,-124.8836,12.40112,5.76723,-4.06409,-12.04946,-1.91412,5.20643,-1.77566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-11-01,11:05:18.81,3,3,"Halamicek, Ryan",1000297052,Right,CAL_MAT,"Pena, Arthur",1000365284,Left,CAL_MAT,Undefined,1,Top,2,1,1,Cutter,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.22047,-1.005833,-1.530208,2353.983373,186.77688,12:15,5.70931,1.98297,6.14615,-31.84758,7.0487,0.69665,2.12547,0.62668,77.48804,-6.922084,-1.404494,0.448875,,,,,,,,,,,,-0.78402,4.25095,-1.86683,50,5.6161,3.24451,-122.42162,-3.13558,-1.19143,23.85887,-25.71402,CAL_MAT,CAL_MAT,Matador Field,TeamExclusive,Team,20241101-Matador Field-Private-1,db051f00-987b-11ef-8084-13326cb0523e,83.97091,,,6.73242,,,,,,,8939bfc7-06e8-4082-9f9d-5b556ec8b8fe,2024-11-01,18:05:18.81,2024-11-01T11:05:18.8115426-07:00,2024-11-01T18:05:18.8115426Z,,v3,471256,471256,,"Liera, Erubiel",1000365303,Right,CAL_MAT,eaea859b-dd75-46a5-9ebe-78a0420aa904,54.35529,-123.26751,11.92943,5.71111,-2.22392,-12.85701,-1.98261,3.28675,-0.59572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
